date,win,s2_id,n_tok,p_sum,n_nonforest,n_tiles,pc_sum,p_dist,p_class,fid,mode,model,view_date,days
2023-04-30,bef,20230430T142719_20230430T142714_T20LNR,13,12.497,13,1,9.991,0.9613076923076923,0.7685384615384615,296,optical,rf,2023-06-16,-47
2023-05-15,bef,20230515T142711_20230515T142713_T20LNR,13,12.695000000000002,13,1,10.004,0.9765384615384617,0.7695384615384615,296,optical,rf,2023-06-16,-32
2023-05-25,bef,20230525T142721_20230525T142853_T20LNR,13,12.232999999999999,13,1,7.938999999999999,0.941,0.6106923076923076,296,optical,rf,2023-06-16,-22
2023-06-04,bef,20230604T142721_20230604T142716_T20LNR,13,12.631999999999998,13,1,10.114,0.9716923076923075,0.778,296,optical,rf,2023-06-16,-12
2023-06-09,evt,20230609T142719_20230609T142938_T20LNR,13,12.655999999999999,13,1,10.476,0.9735384615384615,0.8058461538461539,296,optical,rf,2023-06-16,-7
2023-06-19,evt,20230619T142719_20230619T142934_T20LNR,13,12.531,13,1,9.98,0.963923076923077,0.7676923076923077,296,optical,rf,2023-06-16,3
2023-06-24,aft,20230624T142721_20230624T142715_T20LNR,13,12.546,13,1,10.034,0.965076923076923,0.7718461538461538,296,optical,rf,2023-06-16,8
2023-06-29,aft,20230629T142719_20230629T143340_T20LNR,13,12.55,13,1,9.992,0.9653846153846154,0.7686153846153847,296,optical,rf,2023-06-16,13
2023-07-04,aft,20230704T142721_20230704T142729_T20LNR,13,12.418999999999999,13,1,9.466,0.9553076923076922,0.7281538461538462,296,optical,rf,2023-06-16,18
2023-07-09,aft,20230709T142719_20230709T142938_T20LNR,13,12.542999999999997,13,1,10.018,0.9648461538461537,0.7706153846153847,296,optical,rf,2023-06-16,23
