fid,mode,model,n_acq,view_date,alert_date,confirmed,delay_days
3,joint,rf,11,2023-09-29,,False,
4,joint,rf,10,2023-09-29,2023-08-13,True,-47.0
5,joint,rf,12,2023-09-29,2023-10-12,False,13.0
9,joint,rf,11,2023-09-29,2023-10-02,True,3.0
10,joint,rf,14,2023-10-01,,False,
11,joint,rf,16,2023-10-01,,False,
13,joint,rf,10,2023-10-01,,False,
14,joint,rf,12,2023-10-09,2023-09-30,True,-9.0
17,joint,rf,10,2023-10-09,,False,
18,joint,rf,10,2023-10-09,2023-10-12,False,3.0
19,joint,rf,9,2023-10-09,,False,
20,joint,rf,12,2023-10-18,,False,
26,joint,rf,15,2023-10-18,2023-07-09,True,-101.0
35,joint,rf,16,2023-10-24,2023-10-27,True,3.0
36,joint,rf,12,2023-10-29,,False,
38,joint,rf,9,2023-08-20,2023-05-15,True,-97.0
39,joint,rf,14,2023-11-08,2023-06-26,True,-135.0
41,joint,rf,8,2023-11-15,,False,
46,joint,rf,8,2023-08-23,,False,
51,joint,rf,11,2023-08-30,,False,
52,joint,rf,9,2023-08-30,,False,
53,joint,rf,9,2023-08-30,,False,
54,joint,rf,11,2023-08-30,2023-08-25,False,-5.0
55,joint,rf,9,2023-08-30,,False,
59,joint,rf,9,2023-09-09,,False,
60,joint,rf,13,2023-09-19,,False,
62,joint,rf,9,2023-10-19,,False,
64,joint,rf,14,2023-09-09,2023-09-30,False,21.0
66,joint,rf,10,2023-09-09,2023-04-30,True,-132.0
67,joint,rf,10,2023-09-09,2023-04-30,True,-132.0
68,joint,rf,9,2023-09-09,2023-05-15,False,-117.0
70,joint,rf,11,2023-09-09,2023-07-24,True,-47.0
75,joint,rf,11,2023-09-09,2023-05-15,True,-117.0
79,joint,rf,9,2023-09-09,,False,
81,joint,rf,11,2023-09-13,,False,
84,joint,rf,10,2023-09-13,2023-10-07,False,24.0
88,joint,rf,12,2023-09-13,2023-10-07,False,24.0
97,joint,rf,2,2023-04-19,2023-04-30,True,11.0
98,joint,rf,2,2023-04-29,2023-05-15,False,16.0
99,joint,rf,2,2023-05-04,2023-04-30,False,-4.0
101,joint,rf,3,2023-05-14,2023-05-15,True,1.0
103,joint,rf,4,2023-05-14,2023-05-15,True,1.0
104,joint,rf,3,2023-05-15,2023-05-15,True,0.0
105,joint,rf,4,2023-05-27,2023-05-25,True,-2.0
106,joint,rf,3,2023-05-27,2023-06-14,False,18.0
107,joint,rf,4,2023-05-27,2023-05-25,True,-2.0
109,joint,rf,3,2023-05-29,2023-06-14,False,16.0
110,joint,rf,4,2023-05-29,2023-03-01,True,-89.0
113,joint,rf,6,2023-06-16,2023-06-26,True,10.0
115,joint,rf,5,2023-06-21,2023-02-14,True,-127.0
119,joint,rf,6,2023-06-26,2023-05-15,True,-42.0
122,joint,rf,5,2023-07-01,2023-05-15,True,-47.0
124,joint,rf,10,2023-07-16,2023-02-14,True,-152.0
127,joint,rf,7,2023-07-25,,False,
129,joint,rf,11,2023-07-25,,False,
130,joint,rf,11,2023-07-31,,False,
134,joint,rf,10,2023-08-15,2023-04-20,True,-117.0
136,joint,rf,11,2023-09-14,2023-04-30,True,-137.0
137,joint,rf,15,2023-09-29,,False,
139,joint,rf,10,2023-09-14,2023-10-02,False,18.0
140,joint,rf,1,2023-02-14,2023-02-14,False,0.0
147,joint,rf,1,2023-04-12,2023-04-30,False,18.0
148,joint,rf,2,2023-04-12,2023-04-30,False,18.0
155,joint,rf,2,2023-05-04,2023-04-30,False,-4.0
157,joint,rf,3,2023-05-14,2023-04-30,True,-14.0
158,joint,rf,3,2023-05-14,2023-06-04,False,21.0
159,joint,rf,2,2023-05-14,2023-06-09,False,26.0
161,joint,rf,5,2023-05-15,2023-04-30,True,-15.0
162,joint,rf,3,2023-05-15,2023-05-15,True,0.0
163,joint,rf,3,2023-05-15,2023-04-30,True,-15.0
166,joint,rf,3,2023-05-15,2023-04-30,True,-15.0
168,joint,rf,4,2023-05-15,2023-03-01,True,-75.0
171,joint,rf,2,2023-05-29,2023-06-04,True,6.0
172,joint,rf,5,2023-05-29,2023-06-04,True,6.0
176,joint,rf,3,2023-05-29,2023-06-14,False,16.0
177,joint,rf,5,2023-06-11,2023-06-14,True,3.0
181,joint,rf,7,2023-06-16,2023-04-30,True,-47.0
183,joint,rf,7,2023-06-21,,False,
184,joint,rf,9,2023-06-26,2023-04-30,True,-57.0
188,joint,rf,7,2023-06-26,2023-07-09,False,13.0
189,joint,rf,9,2023-06-26,,False,
190,joint,rf,8,2023-06-26,2023-06-26,True,0.0
193,joint,rf,10,2023-07-06,2023-07-09,True,3.0
195,joint,rf,7,2023-07-06,2023-07-09,True,3.0
196,joint,rf,7,2023-07-06,2023-05-15,True,-52.0
198,joint,rf,9,2023-07-21,2023-04-30,True,-82.0
199,joint,rf,9,2023-07-21,2023-07-09,True,-12.0
202,joint,rf,10,2023-07-25,2023-07-09,True,-16.0
206,joint,rf,10,2023-07-26,,False,
207,joint,rf,11,2023-07-31,,False,
208,joint,rf,11,2023-07-31,,False,
209,joint,rf,10,2023-07-31,,False,
213,joint,rf,14,2023-09-13,2023-08-28,True,-16.0
221,joint,rf,1,2023-04-13,2023-04-30,False,17.0
222,joint,rf,2,2023-04-13,,False,
225,joint,rf,2,2023-04-29,2023-05-15,True,16.0
226,joint,rf,2,2023-04-29,2023-04-20,True,-9.0
227,joint,rf,3,2023-05-14,2023-05-15,True,1.0
228,joint,rf,3,2023-05-14,,False,
229,joint,rf,3,2023-05-14,2023-05-15,True,1.0
231,joint,rf,1,2023-05-27,,False,
232,joint,rf,1,2023-05-27,,False,
235,joint,rf,4,2023-05-29,2023-04-30,True,-29.0
236,joint,rf,4,2023-05-29,,False,
238,joint,rf,5,2023-06-16,2023-06-26,True,10.0
239,joint,rf,6,2023-06-11,2023-06-14,True,3.0
240,joint,rf,5,2023-06-11,2023-06-14,True,3.0
241,joint,rf,8,2023-06-16,2023-06-19,True,3.0
242,joint,rf,1,2023-04-12,2023-04-30,False,18.0
243,joint,rf,3,2023-05-14,,False,
248,joint,rf,7,2023-06-26,2023-06-14,True,-12.0
249,joint,rf,7,2023-06-26,2023-07-09,True,13.0
250,joint,rf,5,2023-06-26,2023-05-15,True,-42.0
251,joint,rf,6,2023-06-26,2023-05-15,True,-42.0
252,joint,rf,7,2023-07-03,,False,
253,joint,rf,7,2023-07-11,2023-07-20,True,9.0
254,joint,rf,6,2023-07-16,2023-08-03,False,18.0
258,joint,rf,9,2023-07-06,,False,
260,joint,rf,6,2023-07-25,,False,
261,joint,rf,11,2023-07-31,2023-08-03,True,3.0
262,joint,rf,12,2023-08-15,2023-08-25,False,10.0
263,joint,rf,11,2023-08-30,2023-08-03,True,-27.0
265,joint,rf,8,2023-09-14,2023-08-25,False,-20.0
271,joint,rf,1,2023-02-23,2023-03-01,False,6.0
277,joint,rf,2,2023-04-27,2023-04-30,True,3.0
278,joint,rf,2,2023-04-29,,False,
282,joint,rf,3,2023-05-14,2023-04-30,True,-14.0
283,joint,rf,3,2023-05-14,2023-05-15,True,1.0
284,joint,rf,4,2023-05-14,2023-04-20,True,-24.0
289,joint,rf,1,2023-05-27,2023-06-14,False,18.0
291,joint,rf,3,2023-05-29,2023-06-04,True,6.0
294,joint,rf,3,2023-05-29,,False,
297,joint,rf,5,2023-06-16,2023-06-26,True,10.0
298,joint,rf,6,2023-06-16,2023-04-30,True,-47.0
299,joint,rf,7,2023-06-16,2023-06-26,True,10.0
302,joint,rf,9,2023-06-26,2023-07-09,True,13.0
303,joint,rf,8,2023-06-26,2023-06-29,True,3.0
