fid,mode,model,n_acq,view_date,alert_date,confirmed,delay_days
3,joint,log_reg,11,2023-09-29,,False,
4,joint,log_reg,10,2023-09-29,2023-07-09,True,-82.0
5,joint,log_reg,12,2023-09-29,2023-09-12,True,-17.0
9,joint,log_reg,11,2023-09-29,2023-04-30,True,-152.0
10,joint,log_reg,14,2023-10-01,,False,
11,joint,log_reg,16,2023-10-01,2023-10-02,True,1.0
13,joint,log_reg,10,2023-10-01,2023-08-13,True,-49.0
14,joint,log_reg,12,2023-10-09,2023-07-09,True,-92.0
17,joint,log_reg,10,2023-10-09,,False,
18,joint,log_reg,10,2023-10-09,2023-10-12,False,3.0
19,joint,log_reg,9,2023-10-09,,False,
20,joint,log_reg,12,2023-10-18,,False,
26,joint,log_reg,15,2023-10-18,2023-03-01,True,-231.0
35,joint,log_reg,16,2023-10-24,2023-10-27,True,3.0
36,joint,log_reg,12,2023-10-29,,False,
38,joint,log_reg,9,2023-08-20,2023-05-15,True,-97.0
39,joint,log_reg,14,2023-11-08,2023-04-30,True,-192.0
41,joint,log_reg,8,2023-11-15,,False,
46,joint,log_reg,8,2023-08-23,,False,
51,joint,log_reg,11,2023-08-30,2023-06-26,True,-65.0
52,joint,log_reg,9,2023-08-30,,False,
53,joint,log_reg,9,2023-08-30,,False,
54,joint,log_reg,11,2023-08-30,2023-08-25,False,-5.0
55,joint,log_reg,9,2023-08-30,,False,
59,joint,log_reg,9,2023-09-09,,False,
60,joint,log_reg,13,2023-09-19,2023-10-12,False,23.0
62,joint,log_reg,9,2023-10-19,,False,
64,joint,log_reg,14,2023-09-09,2023-09-30,False,21.0
66,joint,log_reg,10,2023-09-09,2023-04-30,True,-132.0
67,joint,log_reg,10,2023-09-09,2023-10-02,False,23.0
68,joint,log_reg,9,2023-09-09,2023-08-25,True,-15.0
70,joint,log_reg,11,2023-09-09,2023-04-30,True,-132.0
75,joint,log_reg,11,2023-09-09,2023-05-15,True,-117.0
79,joint,log_reg,9,2023-09-09,,False,
81,joint,log_reg,11,2023-09-13,2023-03-01,False,-196.0
84,joint,log_reg,10,2023-09-13,2023-03-01,False,-196.0
88,joint,log_reg,12,2023-09-13,2023-06-26,False,-79.0
97,joint,log_reg,2,2023-04-19,2023-04-30,True,11.0
98,joint,log_reg,2,2023-04-29,2023-05-15,False,16.0
99,joint,log_reg,2,2023-05-04,2023-04-30,True,-4.0
101,joint,log_reg,3,2023-05-14,2023-05-15,True,1.0
103,joint,log_reg,4,2023-05-14,,False,
104,joint,log_reg,3,2023-05-15,2023-05-15,True,0.0
105,joint,log_reg,4,2023-05-27,2023-05-25,True,-2.0
106,joint,log_reg,3,2023-05-27,2023-06-14,False,18.0
107,joint,log_reg,4,2023-05-27,2023-05-25,True,-2.0
109,joint,log_reg,3,2023-05-29,2023-06-14,False,16.0
110,joint,log_reg,4,2023-05-29,2023-03-01,True,-89.0
113,joint,log_reg,6,2023-06-16,2023-06-26,True,10.0
115,joint,log_reg,5,2023-06-21,2023-02-14,True,-127.0
119,joint,log_reg,6,2023-06-26,2023-05-15,True,-42.0
122,joint,log_reg,5,2023-07-01,,False,
124,joint,log_reg,10,2023-07-16,2023-03-01,True,-137.0
127,joint,log_reg,7,2023-07-25,,False,
129,joint,log_reg,11,2023-07-25,2023-01-15,True,-191.0
130,joint,log_reg,11,2023-07-31,2023-04-30,True,-92.0
134,joint,log_reg,10,2023-08-15,2023-04-20,True,-117.0
136,joint,log_reg,11,2023-09-14,2023-04-20,True,-147.0
137,joint,log_reg,15,2023-09-29,,False,
139,joint,log_reg,10,2023-09-14,2023-10-02,False,18.0
140,joint,log_reg,1,2023-02-14,2023-02-14,False,0.0
147,joint,log_reg,1,2023-04-12,2023-04-30,False,18.0
148,joint,log_reg,2,2023-04-12,2023-04-30,False,18.0
155,joint,log_reg,2,2023-05-04,2023-04-30,True,-4.0
157,joint,log_reg,3,2023-05-14,2023-04-30,True,-14.0
158,joint,log_reg,3,2023-05-14,2023-06-04,False,21.0
159,joint,log_reg,2,2023-05-14,2023-06-09,False,26.0
161,joint,log_reg,5,2023-05-15,2023-04-30,True,-15.0
162,joint,log_reg,3,2023-05-15,2023-05-15,True,0.0
163,joint,log_reg,3,2023-05-15,2023-04-30,True,-15.0
166,joint,log_reg,3,2023-05-15,2023-04-30,True,-15.0
168,joint,log_reg,4,2023-05-15,2023-03-01,True,-75.0
171,joint,log_reg,2,2023-05-29,2023-06-04,True,6.0
172,joint,log_reg,5,2023-05-29,2023-06-04,True,6.0
176,joint,log_reg,3,2023-05-29,2023-05-15,False,-14.0
177,joint,log_reg,5,2023-06-11,2023-06-14,True,3.0
181,joint,log_reg,7,2023-06-16,2023-04-30,True,-47.0
183,joint,log_reg,7,2023-06-21,2023-05-15,True,-37.0
184,joint,log_reg,9,2023-06-26,2023-01-15,True,-162.0
188,joint,log_reg,7,2023-06-26,2023-06-26,True,0.0
189,joint,log_reg,9,2023-06-26,2023-06-26,True,0.0
190,joint,log_reg,8,2023-06-26,2023-06-26,True,0.0
193,joint,log_reg,10,2023-07-06,2023-07-09,True,3.0
195,joint,log_reg,7,2023-07-06,2023-07-09,True,3.0
196,joint,log_reg,7,2023-07-06,2023-05-15,True,-52.0
198,joint,log_reg,9,2023-07-21,2023-04-30,True,-82.0
199,joint,log_reg,9,2023-07-21,2023-07-09,True,-12.0
202,joint,log_reg,10,2023-07-25,2023-07-09,True,-16.0
206,joint,log_reg,10,2023-07-26,,False,
207,joint,log_reg,11,2023-07-31,,False,
208,joint,log_reg,11,2023-07-31,,False,
209,joint,log_reg,10,2023-07-31,2023-04-30,True,-92.0
213,joint,log_reg,14,2023-09-13,2023-05-21,True,-115.0
221,joint,log_reg,1,2023-04-13,2023-04-30,False,17.0
222,joint,log_reg,2,2023-04-13,,False,
225,joint,log_reg,2,2023-04-29,2023-05-15,True,16.0
226,joint,log_reg,2,2023-04-29,2023-04-20,True,-9.0
227,joint,log_reg,3,2023-05-14,2023-05-15,True,1.0
228,joint,log_reg,3,2023-05-14,2023-06-09,False,26.0
229,joint,log_reg,3,2023-05-14,2023-05-15,True,1.0
231,joint,log_reg,1,2023-05-27,,False,
232,joint,log_reg,1,2023-05-27,,False,
235,joint,log_reg,4,2023-05-29,2023-04-30,True,-29.0
236,joint,log_reg,4,2023-05-29,,False,
238,joint,log_reg,5,2023-06-16,2023-06-26,True,10.0
239,joint,log_reg,6,2023-06-11,2023-06-14,True,3.0
240,joint,log_reg,5,2023-06-11,2023-06-14,True,3.0
241,joint,log_reg,8,2023-06-16,2023-06-04,True,-12.0
242,joint,log_reg,1,2023-04-12,2023-04-30,False,18.0
243,joint,log_reg,3,2023-05-14,,False,
248,joint,log_reg,7,2023-06-26,2023-05-15,True,-42.0
249,joint,log_reg,7,2023-06-26,2023-06-26,True,0.0
250,joint,log_reg,5,2023-06-26,2023-05-15,True,-42.0
251,joint,log_reg,6,2023-06-26,2023-04-20,True,-67.0
252,joint,log_reg,7,2023-07-03,,False,
253,joint,log_reg,7,2023-07-11,2023-07-20,True,9.0
254,joint,log_reg,6,2023-07-16,2023-08-03,False,18.0
258,joint,log_reg,9,2023-07-06,,False,
260,joint,log_reg,6,2023-07-25,,False,
261,joint,log_reg,11,2023-07-31,2023-03-01,True,-152.0
262,joint,log_reg,12,2023-08-15,2023-08-25,False,10.0
263,joint,log_reg,11,2023-08-30,2023-08-03,True,-27.0
265,joint,log_reg,8,2023-09-14,2023-08-25,False,-20.0
271,joint,log_reg,1,2023-02-23,2023-03-01,False,6.0
277,joint,log_reg,2,2023-04-27,2023-04-30,True,3.0
278,joint,log_reg,2,2023-04-29,,False,
282,joint,log_reg,3,2023-05-14,2023-04-30,True,-14.0
283,joint,log_reg,3,2023-05-14,2023-04-30,True,-14.0
284,joint,log_reg,4,2023-05-14,2023-04-20,True,-24.0
289,joint,log_reg,1,2023-05-27,2023-06-14,False,18.0
291,joint,log_reg,3,2023-05-29,2023-06-04,True,6.0
294,joint,log_reg,3,2023-05-29,2023-05-15,True,-14.0
297,joint,log_reg,5,2023-06-16,2023-06-26,True,10.0
298,joint,log_reg,6,2023-06-16,2023-04-30,True,-47.0
299,joint,log_reg,7,2023-06-16,2023-06-26,True,10.0
302,joint,log_reg,9,2023-06-26,2023-07-09,True,13.0
303,joint,log_reg,8,2023-06-26,2023-06-29,True,3.0
306,joint,log_reg,8,2023-06-26,2023-06-26,True,0.0
307,joint,log_reg,4,2023-06-26,2023-05-15,True,-42.0
317,joint,log_reg,7,2023-07-25,,False,
