date,win,n_tok,p_sum,n_nonforest,n_tiles,pc_sum,p_dist,p_class,fid,mode,model,view_date,days
2023-04-30,bef,11,8.955223069876384,11,1,7.307055511219487,0.8141111881705804,0.6642777737472261,344,joint,log_reg,2023-09-09,-132
2023-05-15,bef,11,9.041974733263439,11,1,8.677438426523995,0.821997703023949,0.7888580387749087,344,joint,log_reg,2023-09-09,-117
2023-05-25,bef,11,7.177636304049319,5,1,1.4846824290350475,0.6525123912772108,0.13497112991227705,344,joint,log_reg,2023-09-09,-107
2023-06-04,bef,11,6.50529577106305,4,1,3.2186020777560826,0.5913905246420955,0.2926001888869166,344,joint,log_reg,2023-09-09,-97
2023-06-09,bef,11,7.991980537359424,9,1,5.44941792400368,0.7265436852144931,0.49540162945488003,344,joint,log_reg,2023-09-09,-92
2023-06-24,bef,11,6.025757391413738,6,1,4.689630663157792,0.547796126492158,0.426330060287072,344,joint,log_reg,2023-09-09,-77
2023-07-09,bef,11,3.10121810263332,0,1,2.156713246652592,0.2819289184212109,0.1960648406047811,344,joint,log_reg,2023-09-09,-62
2023-07-19,bef,11,4.81997805355238,3,1,3.767225009422032,0.43817982305021635,0.34247500085654836,344,joint,log_reg,2023-09-09,-52
2023-08-03,bef,11,9.159166065522019,8,1,6.483314098738458,0.8326514605020017,0.5893921907944053,344,joint,log_reg,2023-09-09,-37
2023-08-08,bef,11,8.061778124277597,8,1,7.887987489372701,0.7328889203888724,0.7170897717611546,344,joint,log_reg,2023-09-09,-32
2023-08-23,bef,11,10.381190091445156,11,1,9.487401414507932,0.9437445537677415,0.8624910376825393,344,joint,log_reg,2023-09-09,-17
2023-10-02,aft,11,10.640542398614206,11,1,9.795815219935445,0.9673220362376551,0.8905286563577678,344,joint,log_reg,2023-09-09,23
