date,win,s2_id,n_tok,p_sum,n_nonforest,n_tiles,pc_sum,p_dist,p_class,fid,mode,model,view_date,days
2023-04-30,bef,20230430T142719_20230430T142714_T20LNR,171,60.023721113242374,15,4,37.64992219533519,0.3510159129429379,0.22017498359845142,63,joint,log_reg,2023-10-18,-171
2023-06-04,bef,20230604T142721_20230604T142716_T20LNR,171,121.13278876404,142,4,85.23296312511442,0.7083788816610527,0.49843838084862235,63,joint,log_reg,2023-10-18,-136
2023-06-14,bef,20230609T142719_20230609T142938_T20LNR,171,96.63694391175638,81,4,59.38371934157678,0.5651283269693356,0.3472732125238408,63,joint,log_reg,2023-10-18,-126
2023-06-26,bef,20230624T142721_20230624T142715_T20LNR,171,125.09582130164637,150,4,91.73965715358828,0.7315545105359437,0.5364892231203993,63,joint,log_reg,2023-10-18,-114
2023-07-09,bef,20230709T142719_20230709T142938_T20LNR,171,89.93380933998904,88,4,79.46398660954362,0.5259287095905791,0.4647016760792025,63,joint,log_reg,2023-10-18,-101
2023-07-20,bef,20230719T142719_20230719T142939_T20LNR,171,85.82018260770472,76,4,71.90241424479366,0.501872412910554,0.42048195464791616,63,joint,log_reg,2023-10-18,-90
2023-08-01,bef,20230729T142719_20230729T142718_T20LNR,171,81.46601067227428,68,4,68.26953707901433,0.4764094191361069,0.3992370589416043,63,joint,log_reg,2023-10-18,-78
2023-08-25,bef,20230823T142721_20230823T143116_T20LNR,171,131.40353358609613,143,4,127.41546147266716,0.7684417168777552,0.7451196577348956,63,joint,log_reg,2023-10-18,-54
2023-10-02,bef,20231002T142711_20231002T143108_T20LNR,171,104.38544591606981,113,4,67.77001921095496,0.6104412041875428,0.39631590181845006,63,joint,log_reg,2023-10-18,-16
2023-11-11,aft,20231111T142711_20231111T142711_T20LNR,171,151.4934363554355,166,4,48.961504848434224,0.8859265283943597,0.28632458975692526,63,joint,log_reg,2023-10-18,24
