date,win,s2_id,n_tok,p_sum,n_nonforest,n_tiles,pc_sum,p_dist,p_class,fid,mode,model,view_date,days
2023-04-30,bef,20230430T142719_20230430T142714_T20LNR,12,4.981854241062332,4,2,0.43925481409990585,0.41515452008852766,0.036604567841658824,126,optical,log_reg,2023-07-21,-82
2023-05-15,bef,20230515T142711_20230515T142713_T20LNR,12,5.339544883610314,4,2,0.26341621303406526,0.4449620736341928,0.021951351086172105,126,optical,log_reg,2023-07-21,-67
2023-05-25,bef,20230525T142721_20230525T142853_T20LNR,12,8.3746268841911,7,2,0.6299815738613977,0.6978855736825916,0.05249846448844981,126,optical,log_reg,2023-07-21,-57
2023-06-04,bef,20230604T142721_20230604T142716_T20LNR,12,5.81330044734016,4,2,0.23280080123106206,0.48444170394501335,0.01940006676925517,126,optical,log_reg,2023-07-21,-47
2023-06-09,bef,20230609T142719_20230609T142938_T20LNR,12,4.608214702116642,2,2,0.4431847496023984,0.3840178918430535,0.03693206246686653,126,optical,log_reg,2023-07-21,-42
2023-06-24,bef,20230624T142721_20230624T142715_T20LNR,12,8.138442139738862,10,2,0.1605306348763811,0.6782035116449051,0.013377552906365093,126,optical,log_reg,2023-07-21,-27
2023-06-29,bef,20230629T142719_20230629T143340_T20LNR,12,7.337311151031535,5,2,1.7640609788193435,0.6114425959192946,0.14700508156827863,126,optical,log_reg,2023-07-21,-22
2023-07-04,bef,20230704T142721_20230704T142729_T20LNR,12,6.856523193834864,3,2,1.622473483701927,0.571376932819572,0.13520612364182724,126,optical,log_reg,2023-07-21,-17
2023-07-09,bef,20230709T142719_20230709T142938_T20LNR,12,9.493618103432514,9,2,7.933629377452099,0.7911348419527094,0.6611357814543416,126,optical,log_reg,2023-07-21,-12
2023-07-14,evt,20230714T142721_20230714T142941_T20LNR,12,11.721284903753865,12,2,10.857245396518662,0.9767737419794887,0.9047704497098885,126,optical,log_reg,2023-07-21,-7
2023-07-19,evt,20230719T142719_20230719T142939_T20LNR,12,11.864305368643745,12,2,11.145486005142734,0.9886921140536454,0.9287905004285611,126,optical,log_reg,2023-07-21,-2
2023-07-24,evt,20230724T142721_20230724T142717_T20LNR,12,11.836747550285455,12,2,10.329047644022607,0.9863956291904546,0.8607539703352173,126,optical,log_reg,2023-07-21,3
2023-07-29,aft,20230729T142719_20230729T142718_T20LNR,12,11.885541897179866,12,2,10.86251773430286,0.9904618247649889,0.905209811191905,126,optical,log_reg,2023-07-21,8
2023-08-08,aft,20230808T142719_20230808T143119_T20LNR,12,11.714114621667838,12,2,10.525669115931013,0.9761762184723198,0.8771390929942511,126,optical,log_reg,2023-07-21,18
