date,win,s2_id,n_tok,p_sum,n_nonforest,n_tiles,pc_sum,p_dist,p_class,fid,mode,model,view_date,days
2023-05-15,bef,20230515T142711_20230515T142713_T20LNR,77,51.07783333333334,42,2,4.0938333333333325,0.6633484848484849,0.053166666666666654,316,optical,rf,2023-07-25,-71
2023-05-20,bef,20230520T142719_20230520T142902_T20LNR,77,43.34358333333333,3,2,6.011583333333334,0.5629036796536796,0.07807251082251083,316,optical,rf,2023-07-25,-66
2023-06-04,bef,20230604T142721_20230604T142716_T20LNR,77,52.444833333333335,41,2,4.504833333333334,0.6811017316017316,0.05850432900432901,316,optical,rf,2023-07-25,-51
2023-06-09,bef,20230609T142719_20230609T142938_T20LNR,77,49.773,30,2,5.01,0.6464025974025974,0.06506493506493506,316,optical,rf,2023-07-25,-46
2023-06-19,bef,20230619T142719_20230619T142934_T20LNR,77,52.3867619047619,48,2,4.169761904761906,0.6803475572047,0.05415275200989488,316,optical,rf,2023-07-25,-36
2023-06-24,bef,20230624T142721_20230624T142715_T20LNR,77,52.33666666666666,48,2,5.819666666666667,0.6796969696969696,0.0755800865800866,316,optical,rf,2023-07-25,-31
2023-06-29,bef,20230629T142719_20230629T143340_T20LNR,77,56.732666666666674,57,2,11.441666666666668,0.7367878787878789,0.1485930735930736,316,optical,rf,2023-07-25,-26
2023-07-04,bef,20230704T142721_20230704T142729_T20LNR,77,62.391016666666665,50,2,28.90201666666667,0.8102729437229437,0.3753508658008658,316,optical,rf,2023-07-25,-21
2023-07-09,bef,20230709T142719_20230709T142938_T20LNR,77,69.77928333333334,71,2,48.99628333333333,0.9062244588744589,0.6363153679653679,316,optical,rf,2023-07-25,-16
2023-07-14,bef,20230714T142721_20230714T142941_T20LNR,77,71.64333333333333,74,2,56.01233333333333,0.9304329004329004,0.7274329004329004,316,optical,rf,2023-07-25,-11
2023-07-19,evt,20230719T142719_20230719T142939_T20LNR,77,72.47683333333333,75,2,59.859833333333334,0.9412575757575757,0.7774004329004329,316,optical,rf,2023-07-25,-6
2023-07-24,evt,20230724T142721_20230724T142717_T20LNR,77,72.0955,73,2,56.191500000000005,0.9363051948051948,0.7297597402597403,316,optical,rf,2023-07-25,-1
2023-07-29,evt,20230729T142719_20230729T142718_T20LNR,77,72.30533333333332,74,2,57.41433333333334,0.9390303030303029,0.7456406926406927,316,optical,rf,2023-07-25,4
2023-08-08,aft,20230808T142719_20230808T143119_T20LNR,77,73.27741666666667,76,2,61.11841666666666,0.951654761904762,0.793745670995671,316,optical,rf,2023-07-25,14
