fid,mode,model,n_acq,view_date,alert_date,confirmed,delay_days
3,optical,rf,17,2023-09-29,,False,
4,optical,rf,16,2023-09-29,2023-08-03,True,-57.0
5,optical,rf,18,2023-09-29,2023-08-08,True,-52.0
9,optical,rf,18,2023-09-29,2023-09-27,True,-2.0
10,optical,rf,21,2023-10-01,,False,
11,optical,rf,25,2023-10-01,2023-10-02,True,1.0
13,optical,rf,16,2023-10-01,2023-09-22,False,-9.0
14,optical,rf,20,2023-10-09,2023-09-27,True,-12.0
17,optical,rf,17,2023-10-09,,False,
18,optical,rf,17,2023-10-09,2023-09-22,True,-17.0
19,optical,rf,16,2023-10-09,2023-09-22,True,-17.0
20,optical,rf,17,2023-10-18,,False,
26,optical,rf,24,2023-10-18,2023-06-24,True,-116.0
35,optical,rf,25,2023-10-24,2023-10-27,True,3.0
36,optical,rf,19,2023-10-29,,False,
38,optical,rf,15,2023-08-20,2023-05-15,True,-97.0
39,optical,rf,24,2023-11-08,2023-06-29,True,-132.0
41,optical,rf,13,2023-11-15,,False,
46,optical,rf,13,2023-08-23,,False,
51,optical,rf,18,2023-08-30,,False,
52,optical,rf,16,2023-08-30,,False,
53,optical,rf,13,2023-08-30,2023-08-28,False,-2.0
54,optical,rf,19,2023-08-30,2023-08-23,True,-7.0
55,optical,rf,17,2023-08-30,2023-08-28,True,-2.0
59,optical,rf,18,2023-09-09,,False,
60,optical,rf,21,2023-09-19,2023-08-18,True,-32.0
62,optical,rf,15,2023-10-19,2023-08-28,True,-52.0
64,optical,rf,19,2023-09-09,2023-09-22,True,13.0
66,optical,rf,20,2023-09-09,2023-08-23,True,-17.0
67,optical,rf,19,2023-09-09,2023-08-28,True,-12.0
68,optical,rf,18,2023-09-09,2023-09-12,True,3.0
70,optical,rf,19,2023-09-09,2023-05-15,True,-117.0
75,optical,rf,17,2023-09-09,2023-05-15,True,-117.0
79,optical,rf,17,2023-09-09,2023-05-15,True,-117.0
81,optical,rf,16,2023-09-13,,False,
84,optical,rf,15,2023-09-13,2023-10-07,False,24.0
88,optical,rf,21,2023-09-13,2023-09-22,True,9.0
97,optical,rf,2,2023-04-19,2023-04-30,True,11.0
98,optical,rf,2,2023-04-29,2023-05-15,False,16.0
99,optical,rf,3,2023-05-04,2023-04-30,True,-4.0
101,optical,rf,5,2023-05-14,2023-05-15,True,1.0
103,optical,rf,6,2023-05-14,2023-05-15,True,1.0
104,optical,rf,3,2023-05-15,2023-05-15,True,0.0
105,optical,rf,5,2023-05-27,2023-05-25,True,-2.0
106,optical,rf,4,2023-05-27,2023-06-09,True,13.0
107,optical,rf,6,2023-05-27,2023-05-15,True,-12.0
109,optical,rf,6,2023-05-29,2023-06-09,True,11.0
110,optical,rf,6,2023-05-29,2023-03-01,True,-89.0
113,optical,rf,9,2023-06-16,2023-06-19,True,3.0
115,optical,rf,8,2023-06-21,2023-02-14,True,-127.0
119,optical,rf,7,2023-06-26,2023-05-15,True,-42.0
122,optical,rf,9,2023-07-01,,False,
124,optical,rf,18,2023-07-16,2023-02-14,True,-152.0
127,optical,rf,10,2023-07-25,,False,
129,optical,rf,16,2023-07-25,,False,
130,optical,rf,15,2023-07-31,,False,
134,optical,rf,15,2023-08-15,2023-04-20,True,-117.0
136,optical,rf,21,2023-09-14,2023-04-30,True,-137.0
137,optical,rf,24,2023-09-29,2023-04-30,True,-152.0
139,optical,rf,19,2023-09-14,,False,
140,optical,rf,1,2023-02-14,2023-02-14,False,0.0
147,optical,rf,1,2023-04-12,2023-04-30,False,18.0
148,optical,rf,2,2023-04-12,2023-04-30,False,18.0
155,optical,rf,3,2023-05-04,2023-04-30,True,-4.0
157,optical,rf,5,2023-05-14,2023-04-30,True,-14.0
158,optical,rf,5,2023-05-14,2023-05-20,True,6.0
159,optical,rf,2,2023-05-14,2023-06-09,False,26.0
161,optical,rf,6,2023-05-15,2023-04-30,True,-15.0
162,optical,rf,4,2023-05-15,2023-04-30,True,-15.0
163,optical,rf,4,2023-05-15,2023-04-30,True,-15.0
166,optical,rf,5,2023-05-15,2023-05-15,True,0.0
168,optical,rf,5,2023-05-15,2023-03-01,True,-75.0
171,optical,rf,4,2023-05-29,2023-06-04,True,6.0
172,optical,rf,7,2023-05-29,2023-05-25,True,-4.0
176,optical,rf,5,2023-05-29,2023-05-15,True,-14.0
177,optical,rf,6,2023-06-11,2023-06-09,True,-2.0
181,optical,rf,10,2023-06-16,2023-04-30,True,-47.0
183,optical,rf,10,2023-06-21,2023-05-15,True,-37.0
184,optical,rf,12,2023-06-26,2023-04-30,True,-57.0
188,optical,rf,10,2023-06-26,2023-06-24,True,-2.0
189,optical,rf,12,2023-06-26,2023-06-19,True,-7.0
190,optical,rf,11,2023-06-26,2023-06-19,True,-7.0
193,optical,rf,15,2023-07-06,2023-07-04,True,-2.0
195,optical,rf,11,2023-07-06,2023-07-04,True,-2.0
