fid,mode,model,n_acq,view_date,alert_date,confirmed,delay_days
3,optical,log_reg,17,2023-09-29,,False,
4,optical,log_reg,16,2023-09-29,,False,
5,optical,log_reg,18,2023-09-29,2023-09-22,True,-7.0
9,optical,log_reg,18,2023-09-29,,False,
10,optical,log_reg,21,2023-10-01,,False,
11,optical,log_reg,25,2023-10-01,,False,
13,optical,log_reg,16,2023-10-01,,False,
14,optical,log_reg,20,2023-10-09,,False,
17,optical,log_reg,17,2023-10-09,,False,
18,optical,log_reg,17,2023-10-09,,False,
19,optical,log_reg,16,2023-10-09,,False,
20,optical,log_reg,17,2023-10-18,,False,
26,optical,log_reg,24,2023-10-18,2023-06-29,True,-111.0
35,optical,log_reg,25,2023-10-24,2023-10-27,True,3.0
36,optical,log_reg,19,2023-10-29,,False,
38,optical,log_reg,15,2023-08-20,2023-07-24,True,-27.0
39,optical,log_reg,24,2023-11-08,,False,
41,optical,log_reg,13,2023-11-15,,False,
46,optical,log_reg,13,2023-08-23,,False,
51,optical,log_reg,18,2023-08-30,,False,
52,optical,log_reg,16,2023-08-30,,False,
53,optical,log_reg,13,2023-08-30,,False,
54,optical,log_reg,19,2023-08-30,2023-08-23,True,-7.0
55,optical,log_reg,17,2023-08-30,2023-08-28,True,-2.0
59,optical,log_reg,18,2023-09-09,,False,
60,optical,log_reg,21,2023-09-19,,False,
62,optical,log_reg,15,2023-10-19,,False,
64,optical,log_reg,19,2023-09-09,,False,
66,optical,log_reg,20,2023-09-09,,False,
67,optical,log_reg,19,2023-09-09,,False,
68,optical,log_reg,18,2023-09-09,2023-09-22,False,13.0
70,optical,log_reg,19,2023-09-09,2023-09-27,True,18.0
75,optical,log_reg,17,2023-09-09,2023-06-24,True,-77.0
79,optical,log_reg,17,2023-09-09,,False,
81,optical,log_reg,16,2023-09-13,,False,
84,optical,log_reg,15,2023-09-13,2023-10-07,False,24.0
88,optical,log_reg,21,2023-09-13,,False,
97,optical,log_reg,2,2023-04-19,2023-04-30,True,11.0
98,optical,log_reg,2,2023-04-29,,False,
99,optical,log_reg,3,2023-05-04,2023-04-30,True,-4.0
101,optical,log_reg,5,2023-05-14,2023-05-15,True,1.0
103,optical,log_reg,6,2023-05-14,,False,
104,optical,log_reg,3,2023-05-15,,False,
105,optical,log_reg,5,2023-05-27,2023-05-25,True,-2.0
106,optical,log_reg,4,2023-05-27,2023-06-09,True,13.0
107,optical,log_reg,6,2023-05-27,2023-05-25,True,-2.0
109,optical,log_reg,6,2023-05-29,2023-06-09,True,11.0
110,optical,log_reg,6,2023-05-29,,False,
113,optical,log_reg,9,2023-06-16,2023-06-29,False,13.0
115,optical,log_reg,8,2023-06-21,2023-05-15,True,-37.0
119,optical,log_reg,7,2023-06-26,2023-05-15,True,-42.0
122,optical,log_reg,9,2023-07-01,,False,
124,optical,log_reg,18,2023-07-16,2023-07-09,True,-7.0
127,optical,log_reg,10,2023-07-25,,False,
129,optical,log_reg,16,2023-07-25,,False,
130,optical,log_reg,15,2023-07-31,,False,
134,optical,log_reg,15,2023-08-15,2023-04-20,True,-117.0
136,optical,log_reg,21,2023-09-14,,False,
137,optical,log_reg,24,2023-09-29,,False,
139,optical,log_reg,19,2023-09-14,,False,
140,optical,log_reg,1,2023-02-14,2023-02-14,False,0.0
147,optical,log_reg,1,2023-04-12,2023-04-30,False,18.0
148,optical,log_reg,2,2023-04-12,2023-04-30,False,18.0
155,optical,log_reg,3,2023-05-04,,False,
157,optical,log_reg,5,2023-05-14,2023-04-30,True,-14.0
158,optical,log_reg,5,2023-05-14,,False,
159,optical,log_reg,2,2023-05-14,,False,
161,optical,log_reg,6,2023-05-15,2023-04-30,True,-15.0
162,optical,log_reg,4,2023-05-15,2023-05-15,True,0.0
163,optical,log_reg,4,2023-05-15,,False,
166,optical,log_reg,5,2023-05-15,2023-05-15,True,0.0
168,optical,log_reg,5,2023-05-15,2023-03-01,False,-75.0
171,optical,log_reg,4,2023-05-29,2023-06-04,True,6.0
172,optical,log_reg,7,2023-05-29,,False,
176,optical,log_reg,5,2023-05-29,,False,
177,optical,log_reg,6,2023-06-11,2023-06-09,True,-2.0
181,optical,log_reg,10,2023-06-16,,False,
183,optical,log_reg,10,2023-06-21,2023-06-09,True,-12.0
184,optical,log_reg,12,2023-06-26,2023-04-30,True,-57.0
188,optical,log_reg,10,2023-06-26,,False,
189,optical,log_reg,12,2023-06-26,,False,
190,optical,log_reg,11,2023-06-26,2023-06-24,True,-2.0
193,optical,log_reg,15,2023-07-06,2023-07-04,True,-2.0
195,optical,log_reg,11,2023-07-06,,False,
196,optical,log_reg,11,2023-07-06,,False,
198,optical,log_reg,14,2023-07-21,2023-04-30,False,-82.0
199,optical,log_reg,14,2023-07-21,2023-06-29,True,-22.0
202,optical,log_reg,15,2023-07-25,2023-07-19,True,-6.0
206,optical,log_reg,15,2023-07-26,,False,
207,optical,log_reg,16,2023-07-31,,False,
208,optical,log_reg,16,2023-07-31,,False,
209,optical,log_reg,14,2023-07-31,,False,
213,optical,log_reg,21,2023-09-13,,False,
221,optical,log_reg,1,2023-04-13,2023-04-30,False,17.0
222,optical,log_reg,2,2023-04-13,,False,
225,optical,log_reg,2,2023-04-29,,False,
226,optical,log_reg,3,2023-04-29,2023-04-20,True,-9.0
227,optical,log_reg,3,2023-05-14,2023-05-15,True,1.0
228,optical,log_reg,3,2023-05-14,,False,
229,optical,log_reg,3,2023-05-14,2023-05-15,True,1.0
231,optical,log_reg,1,2023-05-27,,False,
232,optical,log_reg,2,2023-05-27,,False,
235,optical,log_reg,6,2023-05-29,,False,
236,optical,log_reg,6,2023-05-29,,False,
238,optical,log_reg,8,2023-06-16,,False,
239,optical,log_reg,9,2023-06-11,2023-06-19,True,8.0
240,optical,log_reg,8,2023-06-11,2023-06-29,False,18.0
241,optical,log_reg,11,2023-06-16,2023-06-19,True,3.0
242,optical,log_reg,1,2023-04-12,2023-04-30,False,18.0
243,optical,log_reg,5,2023-05-14,,False,
248,optical,log_reg,9,2023-06-26,2023-06-19,True,-7.0
249,optical,log_reg,12,2023-06-26,2023-07-19,False,23.0
250,optical,log_reg,8,2023-06-26,2023-05-15,True,-42.0
251,optical,log_reg,9,2023-06-26,,False,
252,optical,log_reg,11,2023-07-03,,False,
253,optical,log_reg,12,2023-07-11,2023-07-14,True,3.0
254,optical,log_reg,13,2023-07-16,,False,
258,optical,log_reg,14,2023-07-06,,False,
260,optical,log_reg,11,2023-07-25,,False,
261,optical,log_reg,15,2023-07-31,,False,
262,optical,log_reg,18,2023-08-15,2023-08-23,True,8.0
263,optical,log_reg,18,2023-08-30,2023-08-03,True,-27.0
265,optical,log_reg,15,2023-09-14,,False,
271,optical,log_reg,1,2023-02-23,2023-03-01,False,6.0
277,optical,log_reg,2,2023-04-27,2023-04-30,True,3.0
278,optical,log_reg,2,2023-04-29,,False,
282,optical,log_reg,4,2023-05-14,2023-04-30,True,-14.0
283,optical,log_reg,4,2023-05-14,,False,
284,optical,log_reg,4,2023-05-14,2023-06-09,False,26.0
289,optical,log_reg,3,2023-05-27,,False,
291,optical,log_reg,5,2023-05-29,2023-06-04,True,6.0
294,optical,log_reg,6,2023-05-29,2023-05-20,True,-9.0
297,optical,log_reg,8,2023-06-16,2023-06-29,True,13.0
298,optical,log_reg,9,2023-06-16,2023-04-30,False,-47.0
299,optical,log_reg,10,2023-06-16,2023-06-24,True,8.0
302,optical,log_reg,14,2023-06-26,,False,
303,optical,log_reg,11,2023-06-26,2023-06-29,True,3.0
306,optical,log_reg,12,2023-06-26,2023-06-29,True,3.0
307,optical,log_reg,7,2023-06-26,,False,
317,optical,log_reg,12,2023-07-25,2023-08-03,False,9.0
320,optical,log_reg,15,2023-07-26,2023-07-29,False,3.0
323,optical,log_reg,14,2023-07-31,,False,
324,optical,log_reg,14,2023-07-31,2023-07-19,True,-12.0
335,optical,log_reg,15,2023-08-12,2023-08-23,True,11.0
336,optical,log_reg,14,2023-08-15,2023-08-08,True,-7.0
337,optical,log_reg,14,2023-08-15,2023-08-18,True,3.0
338,optical,log_reg,15,2023-08-23,,False,
340,optical,log_reg,18,2023-08-30,,False,
341,optical,log_reg,18,2023-08-30,2023-09-22,False,23.0
343,optical,log_reg,18,2023-09-01,,False,
346,optical,log_reg,19,2023-09-13,2023-09-27,True,14.0
347,optical,log_reg,20,2023-09-13,,False,
348,optical,log_reg,17,2023-09-16,,False,
351,optical,log_reg,18,2023-09-29,2023-09-27,True,-2.0
352,optical,log_reg,22,2023-09-29,2023-09-17,True,-12.0
354,optical,log_reg,19,2023-09-29,,False,
355,optical,log_reg,17,2023-10-04,,False,
361,optical,log_reg,19,2023-09-16,,False,
364,optical,log_reg,23,2023-09-16,,False,
365,optical,log_reg,16,2023-09-16,,False,
366,optical,log_reg,21,2023-09-16,2023-09-22,True,6.0
367,optical,log_reg,20,2023-09-16,,False,
369,optical,log_reg,17,2023-09-19,,False,
370,optical,log_reg,14,2023-09-19,,False,
373,optical,log_reg,20,2023-09-19,,False,
375,optical,log_reg,20,2023-09-19,,False,
379,optical,log_reg,15,2023-09-24,,False,
383,optical,log_reg,19,2023-08-30,,False,
384,optical,log_reg,14,2023-09-09,,False,
388,optical,log_reg,21,2023-09-29,2023-09-22,True,-7.0
389,optical,log_reg,20,2023-09-29,2023-06-29,True,-92.0
